Barcelona                                        barselona
Bela Vista TO                                    bela vista
Prva Iskra Baric                                 prva iskra
NK Karlovac 1919                                 karlovaci
Neftekhimik                                      nefteximiki
Krasnodar II                                     krasnodari II
Shinnik Yaroslavl                                Siniki
Chayka                                           Caika
Malacky                                          malacki
Bihor Oradea                                     bihor oradia
Asko Wolfnitz                                    asko violfnici
KS Sleza Wroclaw                                 sleza vroclavi
Vaesteraas IK                                    vesterosi
Bulls FC Academy                                 bulz fk akademi
Central Coast United                             central qosT iunaitedi
Dunbar Rovers                                    danbar roversi
Inter Lions                                      inter laionsi
Rydalmere                                        raidalmeri
Macarthur Rams                                   makartur remsi
Bankstown City Lions                             benqsTaun siTi laionsi
Canterbury Bankstown                             kenterberi benqsTauni
Vaca Diez                                        vaka diesi
Dinamo FC AL                                     dinamo fk el
Guarany de Sobral                                guarani de sobrali
Crateus                                          krateusi
Wolfsburg II                                     volfsburgi II
Liria                                            liria
Dulwich Hill                                     dalviC hili
CE Olhodaguense                                  olodaguense
Jacyoba AC                                       jakoiba
FF Sport Nova Cruz AL                            sport nova kruzi
Horizonte                                        orizonte
Pacatuba EC                                      pakatuba
CA Paranaense PR                                 atletiko paranaense
Ceara SC CE                                      seara
Zenit St. Petersburg                             zeniti
Miguelense                                       migelense
CD Cortulua                                      kortulua
CD Real Santander                                real santanderi
Vsetin                                           vsetini
SVU Gleinstatten                                 glainSteteni
RW Walldorf                                      valdorfi
Belgrano de Cordoba                              belgrano
Omladinac Novi Banovci                           omladinac nb
Buducnost Popovac                                buduCnost popovaci
SC Stadtwerke Bruck/Mur                          sk Stadtverke bruki
DJK Gebenbach                                    gebenbaxi
Koblenz                                          koblenci
CD Nacional Sa                                   atletiko nasionali
Chievo Verona                                    kievo verona
Liver Brothers                                   liver brazersi
Dondol Stars                                     dondol sTarzi
Gori                                             gori
Pague Menos                                      page menosi
Chabab Houara                                    Sabab huara
CRS Salmi                                        Sabab ben-geriri
Fath Casablanca                                  fath kasablanka
Union Sportif Amal Tiznit                        iunion sportif amal tizniti
JSK Chabab Kasba Tadla                           Sabab kasba tadla
stjordals/blink                                  stiordals blinki
SV Gossendorf Gtc Graz                           gosendorf graci
Itapipoca EC                                     itapipoka
Fath Riadi Nador                                 fath riadi nadori
Js Boujdour                                      buJduri
Volga Ulyanovsk                                  volga ulianovski
SK Lisen B                                       sk liSeni b
CS Viitorul Daesti                               viitorul deeSti
Asko Gurnitz                                     asko gurnici
ASK Horitschon                                   ask horitSoni
Olympia Rajecko                                  raeCko
Borac Cacak                                      boraci
Sloga Kraljevo                                   sloga kralievo
NK Tekstilac Ravnice                             nk tekstilac ravnice
Pfeddersheim                                     pfedershaimi
Schwechat                                        Svexati
San Marcos                                       san markosi
BlackCross                                       bleqqrosi
Mpheni Home Defenders                            mfeni houm defendersi
Clarewood                                        qlervudi
ASKO Kara                                        asko kara
Dinamo Moscow                                    dinamo moskovi
NK Lukavec                                       lukaveci
TUS Fichte Lintfort                              lintforti
CD Atletico Huila SA                             atletiko uila
Corinto                                          korinto
CD Cacahuatique                                  kd kakauatike
AD Masahuat                                      masahuati
CD Racing Junior de Armenia                      rasing xuniori
CD Once Lobos Chalchuapa                         onse lobos CalCuapa
Csd Vendaval                                     vendavali
Leaper                                           liperi
Tornado                                          tornado
Mkhambathi                                       mxambati
Amavarara                                        amavarara
LPS Tozeur                                       toziori
US Bousalem                                      busalemi
Dong A Thanh Hoa                                 thanhoa
Tiradentes CE                                    tiradentes ke
CD Gerardo Barrios                               xerardo bariosi
CD Fuerte San Francisco Morazan                  fuerte san-francisko morasani
CD Topiltzin                                     kd topilcini
Atletico Balboa                                  atletiko balboa
AD Destroyer                                     ad destroieri
AD Juayua                                        ad xuaiua
CD San Pablo Municipal                           san pablo municipali
CD Titan                                         kd titani
SK Werndorf                                      sk verndorfi
Princesa do Solimoes                             prinsesa do solimoeSi
CD Pipil                                         pipili
Municipal Limeno                                 munisipal limeno
Sloga Pozega                                     sloga poJega
Ad Inter San Salvador                            inter san salvadori
Preston Lions                                    preston laionzi
Melbourne City FC Youth                          melburn siTi iusi
Kerry                                            keri
Deisenhofen                                      daizenhofeni
Tukums 2000/TSS                                  tukumsi 2000
WAF Vorwarts Brigittenau                         brigitenau
SV Donau                                         donau
Vipers                                           vaipersi
Adelaide Cobras                                  adelaida kobrasi
Atletico Acreano                                 atletiko akreano
Sao Francisco AC                                 san fransiSku
Centre Sportif Bendje                            centr sportif bendJe
Western United FC Youth                          vestern iunaited iusi
SA Menzel Bourguiba                              menzel burgiba
ES Bou Hajla                                     bu haila
Tokat Belediye Plevnespor                        tokat beledie plevnespori
Central African Rep.                             centraluri afrikis resp.
Dagon                                            dagoni
Sotra SK                                         sotra
Kachin United                                    kaCin iunaitedi
ROW Rybnik 1964                                  rov ribniki 1964
Kurim                                            kurJimi
Radnicki Pirot                                   radniCki piroti
Vlasina                                          vlasina
Guapore  RO                                      guapore
Rondoniense Ro                                   rondoniense
Uniao Cacoalense RO                              uniao kakoalense
EC Bahia BA                                      baia
Vautour                                          voturi
Liberty Professionals                            liberTi profeSenalzi
SV Saestum                                       saestumi
Wartburgia                                       vartburgia
RKVV DSS                                         dss
Jong PSV Ejndhoven                               iong psv
de Tukkers                                       de takersi
St. Louis City                                   sent-luis siTi
SV Ruden                                         sv rudeni
Vilhenense                                       vilienense
Ji-Parana RO                                     Ji-parana
Genus RO                                         Jenus ro
Rd Ariquemes FC RO                               rd arikemesi
Cape Coast Mysterious Dwarfs                     ebusua
Heart of Lions                                   harT of laionsi
Skyy                                             skai
Steadfast                                        steadfasti
Volta Rangers                                    volta reinjersi
Debibi United                                    debibi iunaitedi
Kazincbarcika SC                                 kazincbarcikai
Al Ahli Benghazi                                 al-ahli bengazi
Alingsas FC United                               alingsosi
CS Gilortul Targu Carbunesti                     Jilortuli
Salyut Belgorod                                  saliut belgorodi
Dinamo Stavropol                                 dinamo stavropoli
Juventus Next Gen                                iuventusi II
New Lambton                                      niu lembtoni
Maroochydore                                     maruCidori
North Lakes United                               norT leiqs iunaitedi
Hangzhou Xizi                                    xanCJou qsizi
Chongqing Yongchuan                              Cuncin iunCuani
Hoyvik                                           hoiviki
EB / Streymur II                                 eb / streimuri II
Tofta Itrottarfelag B68 II                       b68 II
Osaka                                            osaka
Jungnang Chorus                                  Jungnangi
SMC Engineering                                  smke
Seoul United                                     seul iunaitedi
Mokpo Gatdangdae                                 mokpo gatdangde
Pyeongchang United                               pxionCxan iunaitedi
Hwajeong                                         hvajoni
Incheon Ganseok                                  inCxon gansoki
Pyeongtaek Citizen                               piongtek siTizeni
Jaemicseu                                        kimxe jemiqsi
Yeoju Sejong                                     sejongi
BK Haecken                                       hekeni
Nara Club                                        nara qlabi
Chungju Citizen                                  Cxunju siTizeni
Daejeon Seo Bu                                   deJeon so bu
Jeonju Citizen                                   CJonCJu siTizeni
Geoje Citizen                                    koje siTizeni
Yangpyeong                                       ianpxioni
Sejong Ugil                                      sejong ugili
Jinju Citizen                                    Cinju siTizeni
Seoul TNT                                        seul tnt
Tajikstan                                        tajikistani
Andira AC                                        andira
AD Vasco Da Gama AC                              vasko da gama ak
Reinsvoll                                        reinsvoli
Furnes                                           furnesi
Limhamn Bunkeflo IF                              bunkeflo
Adesg AC                                         adesgi
Placido de Castro                                plasidu di kastru
Vinh Long                                        vinlongi
Gia Dinh                                         gia dinhi
Vardeneset                                       vardeneseti
Madla                                            madla
Dong Nai                                         dong nai
CS. Dong Thap                                    dong thapi
St George Willawong                              sent jorj uilavongi
Flinders United                                  flinders iunaitedi
Brunei DPMM                                      brunei dpmm
HIFK Helsinki                                    hifk helsinki
Sutjeska Foca                                    sutieska foCa
Arminia Ludwigshafen                             arminia liudvigshafeni
Ahrweiler BC                                     arvailer bk
TuS Kirchberg                                    tus kirxbergi
FV Dudenhofen                                    dudenhofeni
Alemannia Waldalgesheim                          alemania valdalgeshaimi
Hertha Wiesbach                                  herta vizbaxi
SG Muelheim-Kaerlich                             miulhaim kerlixi
Elversberg II                                    elversbergi II
SV Morlautern                                    morlauterni
Eisbachtaler Sportfreunde                        aisbaxtaleri
Victoria Bardar                                  bardari
Falesti                                          faleSti
Hulloy                                           huloi
Fauske/Sprint                                    fauske sprinti
Sandnessjoeen                                    sanesSioeni
Krokelvdalen                                     krokelvdaleni
Storelva                                         storelva
San Martin Mendoza                               san martin mendosa
Nauas EC AC                                      nauasi
Goyang KH                                        goiang kh
Germinal                                         xerminali
Sportivo Atenas                                  sib atenasi
El Linqueno                                      atletiko linkenio
Sol de America Formosa                           sol de amerika formoza
River EC                                         river rr
AE Real                                          ae reali
Progresso                                        progreso
Cuniburo                                         kuniburo
Bossmo/Ytteren                                   bosmo/ itereni
Unired                                           uniredi
CD Tenerife B                                    tenerife b
UD Tenerife Sur Ibarra                           tenerife sur ibara
CD Vera                                          vera
Akas                                             akasi
Hei                                              hei
Tollnes                                          tolnesi
Nord                                             nordi
Riska                                            riska
Eiger                                            eigeri
Vaag                                             vagi
Noetteroey                                       noeteroi
Gran IL                                          grani
Kolbu/KK                                         kolbu/kk
Andijon-2                                        andiJan-2
Navbahor II                                      navbahori II
Box Hill United                                  boqs hil iunaitedi
Calder United SC                                 kolder iunaited sk
Elimai                                           elimai
AL Ahli Nabatiya                                 al-ahli nabatia
Hovdebygda                                       hovdebigda
Bergsoey                                         bergsioi
Aalgaard                                         olgerdi
Froeyland                                        froilandi
Drammen BK                                       dramen bk
Modum                                            modumi
Hana                                             hana
Varhaug                                          varhaugi
9 de Julio Rafaela                               9 de xulio rafaela
Olympic Kingsway                                 olimpik qingsvei
Alamein                                          alameini
Bayside United                                   beisaid iunaitedi
Southern United                                  sauTern iunaitedi
Rio Negro RR                                     rio negro
Bare                                             bare
Ulytau                                           ulitau
Akademii Futbola SD Family                       sd femili
Norild                                           norildi
Kirkenes                                         kirkenesi
Aaskollen                                        oskoleni
Lommedalen                                       lomedaleni
Eidsvold IF                                      eidsvold if
Osteroey IL                                      osteroi
Raumnes/Aarnes                                   raumnes/ aarnesi
Tertnes                                          tertnesi
Holmen                                           holmeni
Charlottenlund                                   Sarlotenlundi
Tynset                                           tinseti
Dahle                                            dale
Sunndal                                          sundali
Hoeyang                                          hoiangi
Aardal                                           ordali
Mosjoeen                                         mosioeni
Flatanger IL                                     flatangeri
Hwange                                           hvange
Sheasham                                         SiSami
Simba Bhora                                      simba bhora
Skovde AIK                                       skiovde
Varnamo                                          vernamo
Jonkopings Sodra IF                              ienCeping sedra if
Vestfossen                                       vestfoseni
Aassiden                                         osideni
Nordlys                                          nordlisi
Nymark                                           niumarki
Flisa                                            flisa
NIL-Trysil                                       nil-triusili
Christiania Ballklubb                            xristiania bolklubi
Midsund                                          midsundi
Vestnes/Varfjell                                 vestnes/ varfieli
Lisleby                                          lislebiu
Raade                                            rade
Troender-Lyn                                     troender-lini
Landsaas                                         landsasi
Skaanland                                        skonlani
Nordhordland                                     nordhordlandi
Lyngboe                                          liungbo
Ottestad                                         otestadi
Sander                                           sanderi
Soerumsand                                       siorumsandi
Surnadal                                         surnadali
Eide/Omegn                                       eide/omegni
Finnsnes                                         finsnesi
Ishavsbyen                                       isxavsbiueni
Borgen                                           borgeni
Oestsiden                                        estsideni
Droebak/Frogn                                    drobak/froni
Aas                                              oosi
Fagerborg                                        fagerborgi
Oldenborg                                        oldenborgi
Oersta                                           orsta
Hammerfest                                       hamerfesti
Rosseland                                        roselandi
Randaberg                                        randabergi
SIF/Hessa IL                                     sif/hesa
Herd                                             herdi
Teie                                             teie
Kraakeroey                                       krakeroi
Tistedalen TIF                                   tistedalen tif
Svelvik                                          svelviki
Eiker/Kvikk                                      eiker/kviki
Tomrefjord IL                                    tomrefiordi
Rollon                                           roloni
Aarvoll                                          arvoli
Eid IL                                           idi
Stryn                                            striuni
Fjoera                                           fiora
Voss                                             vosi
Forus/Gausel                                     forus/ gauzeli
Hinna                                            hinna
Atletico Roraima RR                              atletiko roraima
GAS                                              gas
Yamato Sylphid                                   iamato silfidi
Shizuoka SSU Bonita                              SiZuoka sangio universiti
Khan Tengri                                      xan tengri
Jetisay                                          Jetisai
Lofoten                                          lofoteni
Sortland IL                                      sortlani
Hitra                                            hitra
Hallingdal                                       halingdali
Vuku                                             vuku
Sverresborg                                      sveresborgi
Gneist                                           gneisti
Askoy                                            askoi
Loddefjord                                       lodefiordi
Austevoll                                        austevoli
Faaberg                                          fobergi
Sparta Sarpsborg                                 sparta sarpsborgi
Sarpsborg                                        sarpsborgi
Flaktveit                                        flaktveiti
Hamna IL                                         hamna
Skarp                                            skarpi
Heimdal                                          heimdali
Holmlia                                          holmlia
Gamle Oslo                                       gamle oslo
Kloefta                                          kliofta
Skedsmo                                          skedsmo
Namsos                                           namsosi
Donn                                             doni
Re                                               re
Sandefjord BK                                    sandefiordi
Roervik                                          riorviki
Verdal                                           verdali
Stathelle                                        stateli
IF Storm                                         if stormi
Trauma                                           trauma
Melbo                                            melbu
Loeten                                           lioteni
Engerdal                                         engerdali
Valdres                                          valdresi
Heming                                           hemingi
Manglerud Star Toppfotball                       manglerud star topfutboli
Kvik                                             kviki
NTNUI                                            ntnui
Stovner                                          stovneri
Lexington SC                                     leqsington sk
Boroondara Eagles                                borundara iglzi
Zhas Kyran                                       Jas kirani
Sund SK                                          sund sk
Varegg                                           varegi
GreenFuel                                        grinfuli
OFC Thies                                        olimpik tisesua
Don Torcuato                                     don torkuato
APIA Leichhardt                                  apia leixhardti
US Citta DI Pontedera                            pontedera
Berekum Freedom Fighters                         berekum fridom faiTersi
Westchester United                               vesTCesteri
Pisa SC                                          piza sk
Gefle IF FF                                      gefle if ff
ACF Fiorentina                                   fiorentina
Nkoranza Warriors SC                             nkoranza uoriorz sk
Uyss New York                                    uiss niu-iorki
Mavlon                                           mavloni
Jovenes Promesas                                 xovenes promesasi
Serie D Viareggio                                seria d viarejio
Ladegbuwa                                        ladegbuva
AS Livorno                                       livorno
NK Ponikve                                       ponikve
NK Medimurec Dunjovec-Pretetinec                 nk medimureki
Real Jaen                                        xaeni
Ellidi                                           elidi
Arborg                                           arborgi
El Farolito SC                                   el farolito
International San Francisco                      interneSnl san francisko
Club de Lyon FC 2                                qlab de lioni 2
Beaman United                                    bimen iunaitedi
Chicago House                                    Cikago hausi
Bavarian SC                                      bavarian sk
UDA Soccer                                       uda sokeri
Kakawa                                           kakava
Servaezza                                        seraveca
Monterosi Tuscia                                 monterosi
Pascoe Vale                                      pasko veili
FV Emerging                                      emerjingi
Lansdowne Bhoys                                  lendsdauni
Bhutan                                           butani
JJK Jyvaskyla                                    iik iuviaskiulia
Västerås SK                                      vesterosi
Launceston United                                lonseston iunaitedi
Pirmasens                                        pirmazensi
Karbach                                          karbaxi
FV Diefflen                                      difleni
Kaiserslautern II                                kaizeri II
TuS Mechtersheim                                 mexterSaimi
SV Auersmacher                                   auersmaxeri
Brm                                              brm
Immigration                                      imigreiSni
Manjung City                                     manjung siTi
Ksr Sains                                        ksr sainsi
Stop Out SC                                      stop auTi
Whanganui Athletic                               vanganui aTletiki
West Coast Rangers                               vest qosT reinjersi
Twenty 11                                        TvenTi 11
HIF/Stein                                        hif/Staini
Real Aviles Industrial                           real avilesi
Austin FC II                                     ostini II
IFK Trelleborg                                   ifk treleborgi
Veberoeds AIF                                    veberiodsi
Reutlingen                                       roitlingeni
1. FC Heidenheim                                 haidenhaimi
Rot-Weiss Oberhausen                             oberhauzeni
Hertha Zehlendorf                                celendorfi
Manurewa                                         manureva
Grei Kvinner Elite                               grei kviner eliti
Rogba Tataouine                                  rogba tatauini
Crown Legacy                                     qraun legasi
Huntsville City                                  hanTsvil siTi
Sonoma County Sol                                sonoma qaunti soli
California Odyssey SC                            kalifornia odisei sk
Los Angeles FC II                                los anjelesi II
Vaengir Jupiters                                 vengirsi
KH Hlidarendi                                    hlidarendi
Berserkir/Midas                                  berserkir /midasi
Smari                                            smari
Knattspyrnufelagio GG                            knatspurnufelagio gg
Lettir                                           letiri
KB Breidholt                                     kb breidholti
Knattspyrnufelagid Kria                          kria
KFG Gardabaer                                    kfg
Hafnir                                           hafniri
Stokkseyri                                       stokseiri
Ulfarnir                                         ulfarniri
Alftanes                                         alftanesi
CSM Ramnicu Sarat                                rimniku serati
ACSO Filiasi                                     akso filiaSi
ASC Viitorul Simian                              viitorul simiani
Fotbal Club FCSB 2                               stiaua 2
Pucioasa                                         puCoasa
Unirea Bascov                                    uniria baSkovi
AFC Odorheiu Secuiesc                            odorheiu sekuieski
Sepsi Osk 2                                      sepsi 2
ACS Kids Tampa Brasov                            kids tampa braSovi
ACS Pobeda Star Bisnov                           pobeda stari
ACB Ineu                                         ineu
CS Phoenix Buzias                                feniqs buziasi
ACS Mse Targu Mures                              mse tirgu mureSi
Hoa Binh                                         hoa bini
KaPa Kapylan Pallo                               kapa kapilan palo
Zhodino Yuzhnoe                                  Jodino iuJnoe
Niva                                             niva
Bumprom Gomel                                    bumpromi
SC Paderborn 07                                  paderborni 07
RB                                               rb
Alafoss                                          aulafosi
Ymir Kopavogur                                   imir kopavoguri
Knattspyrnufelagid Hordur                        isafiordiuri
Reynir Hnifsdal                                  reinir hnifsdali
KFK                                              kfk
Arbaer                                           arbaeri
UMF Vidir                                        vidiri
Hamrarnir                                        hamrarniri
UMF Tindastoll                                   tindastoli
UMF Samherjar                                    umf samheriari
Dembava                                          dembava
Spartakas                                        spartakasi
Recoleta                                         rekoleta
24 de Setiembre                                  24 seqtemberi
Defensores Del Ilucan                            defensores del ilukani
CSM Ceahlaul Piatra Neamt                        Cahleul piatra niamci
CSM Bucovina Radauti                             bukovina redeuci
CSM Bacau                                        bakeu
AFC Metalul Buzau                                metalul buzeu
ASC Unirea Branistea                             uniria branistea
CS Real Bradu                                    bradu
CSO Plopeni                                      plopeni
CS Sporting Rosiori                              sporting rosiori
CS Crisul Chisineu Cris                          kriSul kiSineu kriSi
CS Corvinul 1921 Hunedoara                       korvinuli
Unirea Alba Iulia                                uniria alba
Metalurgistul Cugir                              metalurgistuli
Acs Somuz Falticeni                              aks Somuz feltiCeni
Csikszereda Miercurea Ciuc 2                     merkuria Cuki 2
Cso Viitorul Darabani                            viitorul darabani
Rapid Brodoc                                     rapid brodoki
Csm Focsani                                      ksm fokSani
Dacia Unirea Braila                              braila
CS Sporting Liesti                               sporting lieSti
Vointa Limpezis                                  vointa limpezisi
Binh Thuan                                       bintxuani
Gold Star FC Detroit                             gold sTar detroiti
Bollstanaes SK                                   bolstanosi
BK Haecken  B                                    hekeni b
GAIS Goteborg                                    gais gioteborgi
Nacka Iliria                                     naka iliria
Naessjoe FF                                      nessie
Laholms                                          laholmi
FBK Karlstad                                     karlStadi
IK Franke                                        ik franke
Froesoe IF                                       frese if
Notvikens IK                                     notvikens ik
IFK Skoevde                                      ifk Siovde
AFC Dinamo Bacau                                 dinamo bakeu
CS Gloria Baneasa                                gloria beneasa
CS Amara                                         ks amara
SC FC Voluntari II                               voluntari II
Recolta Gheorghe Doja                            rekolta
ASFC Agricola Borcea                             agrikola borCa
Paulesti                                         pauleSti
ASC Olimpic Zarnesti                             ask olimpik zarneSti
Cozia Calimanesti                                kozia kalimaneSti
CS Universitatea Craiova II                      universitatia kr II
CSM Cetatea Turnu Magurele                       Cetatea turnu magurele
ACS Minerul Costesti                             mineruli
Acs Vedita Colonesti MS                          vedita
AFC Vointa Lupac                                 voinca lupaki
Viitorul Pandurii Targu Jiu II                   viitorul tirgu-Jiu II
Armata Aurul Brad                                bred auruli
CSO Retezatul Hateg                              retezatul hategi
ACS Progresul Pecica                             progresul peCika
Gloria Lunca-Teuz Cermei                         gloria lunCa
Universitatea Alba Iulia                         universitatia alba iulia
Acad Viitorul Cluj                               viitorul kluJi
Csm Sighetu Marmatiei                            sigetu marmatei
CFR Cluj II                                      Cfr kluJ II
CS Sportul 2007 Simleu Silvaniei                 Simleu silvaniei
Somesul Dej                                      somesul deJi
CSM Victoria Carei                               viqtoria karei
Tuggeranong United                               tukeranong iunaitedi
SV Darmstadt 98                                  darmStati 98
1 FC Magdeburg                                   magdeburgi
1 FC Union Berlin                                union berlini
IH Hafnarfjordur                                 ih habnarfiordiuri
KA Asvellir                                      ka asveliri
Kormakur/Hvot                                    kormakuri
Uppsveitir                                       upsveitiri
Hamar                                            hamari
Skautafelag Reykjavikur                          skautafelag reikiaviki
Augnablik                                        augnabliki
Skallagrimur                                     skalagrimuri
KFR Hvolsvollur                                  kfr
IK Zenith                                        ik zeniti
VMA IK                                           vma
Vasteras                                         vesterosi
IK Roessoe Uddevalla                             ik roso udevala
Savannah Clovers                                 savana kloversi
Oakland Stompers                                 oklend stompersi
Oakland SC                                       oklend sk
Napa Valley 1839                                 napa veli 1839
San Ramon                                        san ramoni
Davis                                            deivisi
Africa United                                    afrika reikiaviki
Sporting Victoria Iquitos                        sporting viqtoria iqitosi
Club Sportivo Carapegua                          deportivo karapegua
Melgar                                           melgari
Spyrnir                                          spirniri
Tiddim Road Athletic Union                       trau
CD Bories                                        kd boriesi
Deportes Union Companias                         deportes iunion kompaniasi
Aktobe Youth                                     aktobe 2
Real San Joaquin                                 real san xoakini
CD Union                                         union ikike
CD Ojanco Tierra Amarilla                        oxankosi
Poblacion Nogales                                poblasion nogalesi
Deportes Valdivia                                deportes valdivia
Provincial Osorno                                osorno
Ventspils                                        ventspilsi
Farul Constanta II                               farul konstanca II
CS Gloria Albesti                                gloria albesti
ACS Inainte Modelu                               inainte modelu
CS Dinamo Bucuresti                              ks dinamo buqaresti
Deportes Linares                                 deportes linaresi
Trasandino de Socoroma                           trasandino sokoroma
Deportes Iberia                                  iberia
Deportes Colina                                  deportes kolina
Quintero Unido                                   kintero unido
Ferroviario Comercial                            feroviario komersiali
Comunal Cabrero                                  komunal kabrero
Teniente Merino                                  teniente merino
Gimpo                                            kimpxo
Pyunik Academy                                   piunik 2
Chimbarongo                                      Cimbarongo
Gol Y Gol                                        gol i goli
Union Bellavista                                 union belavista
CD Electricos Refinerias                         eleqtrikos refineriasi
Colchagua CD                                     kolCagua
Santiago City                                    santiago siTi
Deportes Rengo                                   deportes rengo
Cd Trasandino De Los Andes                       trasandino
Ullern 2                                         iulerni 2
Sogndal 2                                        sondali 2
Hamarkameratene 2                                ham-kami 2
Sandefjord 2                                     sandefiordi 2
Kristiansund BK 2                                kristiasundi 2
KFUM 2                                           kfum 2
Mjallby                                          mialbiu
Fernandopolis FC SP                              fernandopolis sp
Lautaro de Buin                                  lautaro
Uniao Sao Joao                                   uniao san-Juani
Jabaquara AC SP                                  jabakuara
1. FSV Mainz 05                                  mainci
Melaka                                           melaka
GE Bage                                          baJe
Jose Bonifacio                                   xose bonifaCo
CA Bandeirante SP                                bandeirante sp
Gremio Catanduvense                              gremio katanduvense
Aguai                                            aguai
Mogo Mirim                                       moJi mirimi
Manthiqueira                                     mantikeira
Botafogo FC PB                                   botafogo pb
3B Sport AM                                      3b sport am
JFK Ventspils                                    Jfk ventspilsi
Pib                                              pibi
Matchedje de Maputo                              matCeide de maputo
Uniao Frederiquense                              frederikoense
Monsoon                                          monsuni
Guarany de Bage                                  guarani de bage
Barcelona Esportivo Capela                       barselona esportivo kapela
Minas Icesp DF                                   minas isesp
UDA AL                                           uda
JC Futebol Clube AM                              Js
Vancouver                                        vankuveri
Baia de Pemba                                    baia de pemba
Ferroviario Quelimane                            feroviario kelimane
Zhanyi Skywalkers                                CJani sqaiuoqersi
Lam Dong                                         lam dongi
Gabala                                           gabala
Rockdale Ilinden                                 rokdeil ilindeni
Vaughan Azzurri                                  von aZuri
TSS FC Rovers                                    tss roversi
MB Midvagur                                      mb
CSM Avantul Reghin                               avantul regini
AE Santacruzense SP                              ae santakruzense sp
Tupa FC SP                                       tupa fk sp
Catanduva FC SP                                  katanduva
Mogi Mirim SP                                    moJi mirim sp
Amparo AC SP                                     amparo as sp
Paulista FC SP                                   paulista
Uniao Mogi FC SP                                 uniao moJi
CA Joseense SP                                   josense sp
AD Manthiqueira SP                               ad mantikeira sp
Maua FC SP                                       maua fk sp
Suduroy                                          suduroi
Atlantis Academy                                 atlantisi 2
Pallo-Iirot                                      palo-iroti
TP-47                                            tp-47
Sirijus                                          siriusi
Sturmas                                          sturmasi
CA Taquaritinga SP                               takuaritinga
AA Francana SP                                   frankana
Batatais FC SP                                   botataisi
EC XV de Novembro de Jau SP                      XV de Jau
GD Sao-Carlense SP                               san-karlense sp
Independente FC SP                               independente fk sp
Uniao Sao Joao EC SP                             uniao san Joani
Colorado Caieiras FC SP                          kolorado kaieiras fk sp
Uniao Barbarense                                 uniao barbarense
AD Guarulhos SP                                  ad guarulius sp
CA Mogi das Cruzes SP                            moJi das kruzis sp
EC Uniao Suzano SP                               uniao suzano sp
Mauaense                                         mauaense
TiPS                                             tips
Kuopian Elo                                      kuopian elo
VGTU Vilkai                                      vgtu vilkai
Koips                                            koips
Lehpa                                            lehpa
AIFK Turku                                       aifk
AC Estudiantes                                   ase
Ppj Ruoholahti                                   ruoholahti
Toukolan Teras                                   toukolan teriasi
MPS / Atletico Malmi                             mps
Kirkkonummi                                      kirkonumi
Tera Vilnius                                     tera vilniusi
Minija Kretinga                                  minia
Lasten                                           lasteni
